High,Open,Low,Close,Weighted_Price,Volume_BTC,Volume_Currency
9818.25,9818.25,9815.91,9818.15,9816.04157,0.41363184,4060.227336
9818.15,9818.15,9811.3,9811.3,9813.239402,0.06840549,671.2794498
9810.13,9810.13,9804.09,9804.09,9804.123114,3.06472177,30046.90954
9804.83,9803.65,9803.24,9803.24,9804.626461,2.38512547,23385.2643
9791.79,9790,9787.44,9787.44,9788.903676,0.1495309,1463.743577
9795.91,9785.18,9784.92,9792.56,9794.532469,0.20852245,2042.379907
9799.83,9799.83,9784.1,9799.83,9798.444537,0.88730407,8694.199718
9803.82,9799.83,9793.08,9803.82,9796.336621,0.22390163,2193.415738
9803.82,9803.82,9791.91,9802.18,9793.828364,0.35510694,3477.856421
9796.43,9796.43,9796.43,9796.43,9796.43,0.03682921,360.7947777
9796.44,9790,9790,9796.44,9795.868279,0.06151157,602.5592373
9799.73,9797.21,9797.21,9799.73,9798.09999,0.01978879,193.8925431
9802.68,9802.68,9793.45,9802.32,9794.549509,0.34568827,3385.860875
9802.32,9802.32,9802.32,9802.32,9802.32,0.1388162,1360.720814
9806.31,9806.31,9794.87,9806.31,9805.713642,0.03684924,361.3330954
9805.31,9802.32,9802.32,9805.31,9805.240184,2.35548493,23096.09549
9802.41,9802.41,9794.61,9794.61,9799.505725,0.01911872,187.3540061
9801.18,9801.18,9801.18,9801.18,9801.18,0.01111429,108.9331569
9804.33,9797.45,9796.01,9801.76,9799.480167,0.30450054,2983.947002
9801.76,9801.76,9801.76,9801.76,9801.76,0.04167651,408.5031487
9802.82,9802.82,9802.82,9802.82,9802.82,1.06164068,10407.07249
9804.82,9801.94,9800.85,9800.85,9802.734534,5.84259643,57273.42179
9806.08,9806.08,9806.08,9806.08,9806.08,0.03360801,329.5628347
9798.58,9798.58,9798.58,9798.58,9798.58,0.05703505,558.8625002
9808.9,9798.58,9798.58,9808.87,9807.999735,0.09738052,955.1081144
9808.89,9808.89,9808.89,9808.89,9808.89,0.17356023,1702.433204
9807.9,9807.9,9798.93,9807.9,9804.804914,0.77746289,7622.871964
9807.9,9798.86,9798.86,9807.9,9801.60608,0.44034667,4316.104598
9807.9,9807.9,9797.61,9797.61,9798.337141,0.15228629,1492.152411
9807.9,9807.9,9807.9,9807.9,9807.9,0.05434691,533.0290586
9809.79,9807.9,9803.6,9803.6,9809.394963,0.14227382,1395.620093
9815.38,9815.38,9812.51,9812.51,9813.862708,0.01471987,144.4587833
9815.35,9813.37,9803.43,9813.35,9811.846066,0.87110975,8547.194774
9813.35,9813.35,9808.06,9813.35,9809.403971,0.23836304,2338.199351
9813.35,9813.35,9812.35,9812.35,9812.775052,0.03156244,309.7151238
9816.43,9812.35,9812.35,9816.43,9814.036393,0.18209371,1787.074297
9839,9814.35,9804.45,9826.72,9826.723086,1.97042432,19362.81415
9821.1,9821.1,9810.61,9818.86,9819.324008,1.25437607,12317.12506
9830.37,9823.36,9817.27,9823.07,9827.215958,0.32920571,3235.175607
9831.83,9831.83,9825.21,9825.21,9829.974484,0.02823139,277.5138434
9828.3,9825.21,9825,9825,9825.876566,0.03187911,313.2401999
9823.36,9816.82,9816.82,9822.12,9822.566585,1.1211775,11012.84065
9826.86,9823.36,9816.8,9826.86,9819.226328,0.51546049,5061.423215
9826.86,9826.86,9815.57,9826.84,9815.819518,0.81804936,8029.824875
9826.86,9826.82,9826.79,9826.86,9826.800012,0.51599954,5070.624286
